"scientific_name","hosts"
"Raphanus raphanistrum","Allium cepa (onion), Avena sativa (oats), Beta vulgaris (beetroot), Brassica napus var. napus (rape), Chrysanthemum (daisy), Cicer arietinum (chickpea), Citrus, Coffea (coffee), Daucus carota (carrot), Fragaria ananassa (strawberry), Glycine max (soyabean), Gossypium (cotton), Helianthus annuus (sunflower), Hordeum vulgare (barley), Linum usitatissimum (flax), Lupinus (lupins), Medicago sativa (lucerne), Nicotiana tabacum (tobacco), Olea europaea subsp. europaea (European olive), pastures, Pisum sativum (pea), Prunus persica (peach), Saccharum officinarum (sugarcane), Solanum tuberosum (potato), Spinacia oleracea (spinach), Triticum aestivum (wheat), Vitis vinifera (grapevine), Zea mays (maize)"
"Urochloa panicoides","Gossypium (cotton), Polyphagous (polyphagous), Sorghum bicolor (sorghum), Triticum aestivum (wheat), Zea, Zea mays (maize)"
"Heterodera goettingiana","Cicer arietinum (chickpea), Glycine max (soyabean), Lathyrus cicera (flat-podded vetchling), Lathyrus odoratus (sweet pea), Lathyrus sativus (grass pea), Lens culinaris subsp. culinaris (lentil), Lupinus albus (white lupine), Lupinus luteus (yellow lupin), Medicago sativa (lucerne), Pisum sativum (pea), Trifolium repens (white clover), Vicia (vetch), Vicia benghalensis (purple vetch), Vicia calcarata, Vicia cracca (Tufted vetch), Vicia ervilia (Bitter vetch), Vicia faba (faba bean)"
"Scutellonema bradys","Abelmoschus esculentus (okra), Cajanus cajan (pigeon pea), Catharanthus roseus (Madagascar periwinkle), Celosia argentea (celosia), Cocos nucifera (coconut), Corchorus olitorius (jute), Dioscorea (yam), Dioscorea alata (white yam), Dioscorea bulbifera (air potato), Dioscorea cayenensis (Guinea yam), Dioscorea esculenta (Asiatic yam), Dioscorea rotundata, Dioscorea trifida (cushcush yam), Hibiscus cannabinus (kenaf), Hibiscus sabdariffa (Roselle), Luffa aegyptiaca (loofah), Manihot esculenta (cassava), Oryza sativa (rice), Pachyrhizus erosus (yam bean), Pueraria phaseoloides (tropical kudzu), Sesamum indicum (sesame), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Synedrella nodiflora (synedrella), Urena lobata (caesar weed), Vigna radiata (mung bean), Vigna unguiculata (cowpea)"
"Paspalum notatum","Agave, Avena sativa (oats), Coffea arabica (arabica coffee), Oryza sativa (rice), Pinus elliottii (slash pine), Pinus palustris (longleaf pine), Saccharum, Zea mays (maize)"
"Daucus carota","Citrus, Hordeum vulgare (barley), Medicago sativa (lucerne), Solanum lycopersicum (tomato), Triticum aestivum (wheat)"
"Tomato black ring virus","Abeliophyllum distichum, Allium ascalonicum, Allium cepa (onion), Allium porrum (leek), Allium sativum (garlic), Allium schoenoprasum (chives), Apium graveolens (celery), Arctium lappa (burdock), Armoracia rusticana (horseradish), Asparagus officinalis (asparagus), Astilbe arendsii, Beta vulgaris var. saccharifera (sugarbeet), Brassica napus, Brassica napus var. napobrassica (swede), Brassica oleracea (cabbages, cauliflowers), Brassica rapa subsp. rapa (turnip), Capsella bursa-pastoris (shepherd's purse), Capsicum (peppers), Caryopteris incana, Celastrus orbiculatus (Asiatic bittersweet), Cerastium vulgatum, Clematis, Crocus, Cucumis sativus (cucumber), Cucurbita pepo (marrow), Cucurbita pepo cv. giromontiina, Cynara cardunculus var. scolymus (globe artichoke), Daucus carota (carrot), Fagus sylvatica (common beech), Fallopia convolvulus (black bindweed), Forestiera acuminata (Swamp privet), Forsythia intermedia (Golden bells), Fragaria (strawberry), Fragaria ananassa (strawberry), Fragaria vesca (wild strawberry), Fumaria officinalis (common fumitory), Gentiana (gentians), Geranium dissectum (cutleaf geranium), Gerbera jamesonii (African daisy), Gladiolus (sword lily), Heracleum sphondylium (bears breech), Hosta, Juglans regia (walnut), Lactuca sativa (lettuce), Lamium amplexicaule (henbit deadnettle), Lamprocapnos spectabilis, Ligustrum vulgare (common privet), Lilium (lily), Lolium perenne (perennial ryegrass), Lycopsis arvensis, Malus domestica (apple), Medicago sativa (lucerne), Myosotis arvensis, Narcissus (daffodil), Nicotiana clevelandii, Nicotiana tabacum (tobacco), Pastinaca sativa (parsnip), Pelargonium (pelargoniums), Persicaria maculosa (redshank), Petroselinum crispum (parsley), Phlox, Phlox paniculata (summer perennial phlox), Polygonum aviculare (prostrate knotweed), Populus (poplars), Prunus avium (sweet cherry), Prunus cerasus (sour cherry), Prunus domestica (plum), Prunus dulcis (almond), Prunus persica (peach), Rheum rhabarbarum, Ribes nigrum (blackcurrant), Ribes rubrum (red currant), Robinia pseudoacacia (black locust), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Sambucus nigra (elder), Senecio vulgaris, Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Sonchus asper (spiny sow-thistle), Sorbus aucuparia (mountain ash), Spergula arvensis (corn spurry), Spinacia oleracea (spinach), Stellaria media (common chickweed), Syringa vulgaris (lilac), Tagetes erecta (Mexican marigold), Tagetes patula (French marigold), Taraxacum officinale, Trifolium repens (white clover), Tulipa gesneriana, Tussilago farfara (Colt's-foot), Urtica urens (annual nettle), Verbena officinalis (vervain), Veronica persica (creeping speedwell), Veronica agrestis, Vigna unguiculata (cowpea), Viola (violet), Vitis vinifera (grapevine)"
"Stellaria media","Allium cepa (onion), Allium sativum (garlic), Avena sativa (oats), Beta vulgaris (beetroot), Brassica napus var. oleifera, Citrus, Coffea (coffee), Cucumis (melons, cucuimbers, gerkins), Cydonia oblonga (quince), Fragaria ananassa (strawberry), Hordeum vulgare (barley), Linum usitatissimum (flax), Malus domestica (apple), Medicago sativa (lucerne), Morus alba (mora), Musa (banana), Nicotiana tabacum (tobacco), Olea europaea subsp. europaea (European olive), Oryza sativa (rice), Pisum sativum (pea), Prunus persica (peach), Pyrus communis (European pear), Saccharum officinarum (sugarcane), Secale cereale (rye), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Spinacia oleracea (spinach), Triticum aestivum (wheat), Triticum turgidum subsp. durum, Vicia faba (faba bean), Vitis vinifera (grapevine)"
"Pennisetum pedicellatum","Gossypium barbadense (Gallini cotton), Gossypium hirsutum (Bourbon cotton), Sorghum bicolor (sorghum), Zea mays (maize)"
"Ricinus communis","Allium cepa (onion), Oryza sativa (rice), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato)"
"Mikania micrantha","Ananas comosus (pineapple), Areca catechu (betel nut), Artocarpus altilis (breadfruit), Bambusa vulgaris (common bamboo), Camellia sinensis (tea), Carica papaya (pawpaw), Citrus, Cocos nucifera (coconut), Coffea (coffee), Colocasia esculenta (taro), Dioscorea alata (yam), Elaeis guineensis (African oil palm), Hevea brasiliensis (rubber), Ipomoea batatas (sweet potato), Litchi chinensis (lichi), Manihot esculenta (cassava), Musa (banana), Oryza sativa (rice), Psidium guajava (guava), Saccharum officinarum (sugarcane), Tectona grandis (teak), Theobroma cacao (cocoa), Zingiber officinale (ginger)"
"Canna indica","Cocos nucifera (coconut), Musa textilis (Manila hemp)"
"Saccharum spontaneum","Ananas comosus (pineapple), Arachis hypogaea (groundnut), Camellia sinensis (tea), Coffea (coffee), Corchorus olitorius (jute), Eleusine coracana (finger millet), Gossypium hirsutum (Bourbon cotton), Nicotiana tabacum (tobacco), Oryza sativa (rice), Pennisetum glaucum (pearl millet), Saccharum officinarum (sugarcane), Setaria italica (foxtail millet), Sorghum bicolor (sorghum), Triticum aestivum (wheat), Zea mays (maize)"
"Cuscuta europaea","Achillea sp., Aegopodium podagraria (ground elder (UK)), Alhagi sp., Allium cepa (onion), Alnus (alders), Alyssum sp., Anaphalis sp., Anemone sp., Anemone spp., Anthyllis sp., Apium sp., Arabis sp., Artemisia vulgaris (mugwort), Aster sp., Astragalus sp., Astragalus stipulatus, Atractylis sp., Berberis sp., Beta vulgaris (beetroot), Bistorta spp., Calystegia sp., Campanula sp., Centaurea sp., Chaerophyllum sp., Chenopodium sp., Cirsium sp., Clematis sp., Consenia sp., Convolvulus sp., Corydalis sp., Crataegus monogyna (hawthorn), Cremanthodium spp., Crucianella sp., Dactylorhiza spp., Danthonia spp., Daphne sp., Daucus sp., Dipsacus sp., Epilobium sp., Eryngium sp., Eupatorium sp., Euphorbia sp., Euphrasia sp., Filipendula sp., Fraxinus spp., Galeopsis sp., Galium sp., Genista sp., Gentianella spp., Geranium sp., Heracleum sp., Heracleum spp., Humulus lupulus (hop), Hypericum sp., Indigofera sp., Lamium sp., Lamium spp., Lathyrus sp., Ligustrum sp., Linaria sp., Lolium sp., Lotus sp., Lupinus sp., Lysimachia sp., Medicago sp., Melampyrum sp., Melilotus sp., Mentha (mints), Myosotis sp., Nepeta sp., Nepeta sp., Pedicularis sp., Physalis sp., Picrorhiza spp., Pimpinella sp., Plantago sp., Plectranthus sp., Polygonum sp., Populus sp., Potentilla sp., Prunus sp., Rhinanthus sp., Rhododendron sp., Ribes sp., Rosa sp., Rubus idaeus (raspberry), Rubus spp., Rumex sp., Salix, Salvia sp., Sambucus sp., Scabiosa sp., Scrophularia sp., Selinum spp., Selinum spp., Sibbaldia sp., Silene sp., Solanum sp., Solidago spp., Sonchus sp., Stachys sp., Swertia sp., Swertia spp., Tanacetum sp., Thalictrum sp., Thermopsis sp., Tragopogon sp., Trifolium sp., Urtica dioica, Veronica sp., Vicia faba, Vicia sativa, Vincetoxicum sp."
"Sporisorium scitamineum","Saccharum officinarum (sugarcane)"
"Rhamnus cathartica","Avena sativa (oats), Glycine max (soyabean)"
"Ceroplastes rubens","Acacia, Acca sellowiana, Acer (maples), Acrostichum aureum, Agathis lanceolata, Aglaonema, Aglaonema commutatum, Aglaonema costatum, Aglaonema crispum, Aglaonema marantifolium, Aglaonema modestum, Aglaonema nitidum, Aglaonema pictum, Allamanda cathartica (yellow allamanda), Alpinia, Alpinia purpurata (red ginger), Alstonia scholaris (white cheesewood), Alternanthera brasiliana, Alyxia gynopogon, Alyxia stellata, Anacardium occidentale (cashew nut), Annona, Anthurium, Anthurium andreanum, Antidesma, Antidesma bunius, Aralia, Ardisia, Ardisia humilis (low shoebutton), Arillastrum gummiferum, Artemisia (wormwoods), Arthropteris palisotii, Artocarpus (breadfruit trees), Artocarpus altilis (breadfruit), Artocarpus integer (champedak), Aspidotis ficus, Asplenium, Asplenium australasicum, Asplenium nidus (bird&apos;s nest fern), Asystasia gangetica (Chinese violet), Atractocarpus tahitiensis, Barringtonia, Barringtonia asiatica (sea poison tree), Barringtonia racemosa, Bauhinia (camel&apos;s foot), Belvisia, Benthamina alyxifolia, Bixa orellana, Blechnum (saw-fern), Blechnum orientale, Bougainvillea, Bruguiera sexangula, Buxus, Buxus microphylla (little-leaf box), Cajanus cajan (pigeon pea), Callistemon, Callistemon (bottle brush), Callistemon viminalis, Calophyllum inophyllum (Alexandrian laurel), Calophyllum sp.(beauty-leaf), Calophyllum tomentosum, Camellia, Camellia japonica, Camellia rusticana, Camellia sasanqua, Camellia sinensis (tea), Carissa macrocarpa, Cascabela thevetia, Cascabela thevetia (yellow oleander), Cedrus (cedars), Cedrus deodara, Ceiba pentandra (kapok), Celosia argentea (celosia), Celtis (nettle tree), Centipeda minima, Cephalotaxus, Chaenomeles, Chrysanthemum (daisy), Chrysophyllum cainito, Cibotium, Cinnamomum, Cinnamomum burmanni, Cinnamomum camphora (camphor laurel), Cinnamomum cassia, Cinnamomum japonicum, Cinnamomum loureiroi, Cinnamomum verum (cinnamon), Citrus, Citrus aurantiifolia (lime), Citrus deliciosa (Mediterranean mandarin), Citrus junos (yuzu), Citrus limon (lemon), Citrus maxima (pummelo), Citrus reticulata (mandarin), Citrus sinensis (sweet orange), Citrus unshiu (satsuma), Citrus x paradisi (grapefruit), Coccoloba uvifera (sea grape), Cocos nucifera (coconut), Coffea (coffee), Coffea arabica (arabica coffee), Coffea liberica (Liberian coffee tree), Coprosma laevigata, Cryptocarya triplinervis, Cycas, Cycas circinalis, Cycas media, Cycas revoluta, Cycas thouarsii, Cytisus (Broom), Daphne, Davallia, Denhamia cunninghamii, Dicranopteris linearis, Dieffenbachia (dumbcanes), Dieffenbachia seguine (dumb cane), Dimocarpus longan (longan tree), Dioclea violacea, Diospyros (malabar ebony), Diospyros kaki (persimmon), Diospyros virginiana, Distylium racemosum, Dizygotheca elegantissima (false aralia), Dracaena, Elaeocarpus bifidus, Elaeocarpus sylvestris, Elaeodendron, Elaphoglossum crassifolium, Epipremnum pinnatum (centipede tongavine), Eriobotrya japonica, Eucalyptus, Eugenia, Euonymus, Euonymus japonicus, Euphorbia, Euphorbia pulcherrima (poinsettia), Eurya emarginata, Eurya japonica, Exocarpos phyllanthoides, Fatsia japonica (Japanese aralia), Feijoa, Ficus, Ficus carica (common fig), Ficus elastica (rubber plant), Ficus glandifera, Ficus macrophylla, Ficus montana, Ficus prolixa, Fitchia, Garcinia (garcinias), Garcinia amplexicaulis, Garcinia cambogioides, Garcinia gummi-gutta, Garcinia indica, Garcinia mangostana, Garcinia myrtifolia, Garcinia spicata, Gardenia, Gardenia jasminoides (cape jasmine), Gardenia taitensis, Gerbera (Barbeton daisy), Gleichenia, Grammatophyllum, Hedera (ivy), Hedera helix, Hedera rhombea, Helianthus, Heliconia, Hernandia nymphaeifolia, Hibiscus (rosemallows), Hibiscus mutabilis, Hibiscus rosa-sinensis (Chinese rose), Hibiscus tiliaceus (sea hibiscus), Hydrangea paniculata, Ilex (holly), Ilex aquifolium, Ilex chinensis, Ilex cornuta (Chinese holly), Ilex crenata, Ilex integra, Illicium, Impatiens balsamina, Inocarpus fagifer, Iris domestica, Ixora, Ixora chinensis, Ixora coccinea, Ixora coccinea var. coccinea, Kadsura japonica, Lagerstroemia indica (Indian crape myrtle), Laurus nobilis (sweet bay), Leucopogon, Ligustrum (privet), Ligustrum obtusifolium (border privet), Lindera (spicebush), Litchi, Litchi chinensis, Lophostemon confertus, Machilus thunbergii, Maclura cochinchinensis, Magnolia, Magnolia denudata, Magnolia salicifolia, Mallotus japonicus, Malus (ornamental species apple), Mangifera, Mangifera indica (mango), Manilkara bidentata (balata), Manilkara zapota, Melaleuca, Melaleuca bracteata, Melaleuca leucadendra, Melaleuca quinquenervia, Melaleuca viridiflora, Melampodium divaricatum, Melodinus baueri, Meryta angustifolia, Meryta latifolia, Mesua ferrea, Metrosideros, Metrosideros collina, Miconia prasina, Mimusops, Molineria capitulata (palm-grass), Monstera, Monstera deliciosa (ceriman), Montrouziera, Montrouziera cauliflora, Morus, Musa, Musa x paradisiaca (plantain), Myristica (nutmeg), Myristica fragrans (nutmeg), Myrsine, Myrtus, Nandina domestica, Neolitsea sericea, Nephelium (rambutan), Nephelium lappaceum (rambutan), Nephrolepis exaltata (Boston fern), Nephthytis afzelii, Nerium (oleander), Nerium oleander (oleander), Olea (olive), Olea europaea subsp. cuspidata (wild olive), Osmanthus fragrans, Pellaea, Peperomia, Persea, Persea americana (avocado), Persea thunbergii, Philodendron, Philodendron giganteum, Phymatosorus scolopendria, Pilea, Pimenta dioica (allspice), Pinus, Pinus caribaea (Caribbean pine), Pinus cubensis, Pinus kesiya (khasya pine), Pinus michoacana (Michoacan pine), Pinus oocarpa (ocote pine), Pinus parviflora, Pinus patula (Mexican weeping pine), Pinus pseudostrobus (pseudostrobus pine), Pinus radiata (radiata pine), Pinus taeda (loblolly pine), Pinus thunbergii (Japanese black pine), Piper (pepper), Piper excelsum, Pittosporum, Pittosporum bracteolatum, Platycerium (staghorn-fern), Plumeria (frangipani), Plumeria alba, Plumeria rubra, Podocarpus macrophyllus (long-leaf podocarpus), Polypodium, Polyscias guilfoylei (geranium aralia), Poncirus, Pouteria, Pouteria caimito, Pouteria sericea, Premna, Premna serratifolia, Prunus (stone fruit), Prunus domestica (plum), Prunus mume (Japanese apricot tree), Prunus salicina (Japanese plum), Psidium, Psidium cattleianum (strawberry guava), Psidium guajava, Psidium guineense, Psychotria, Pyrus (pears), Pyrus communis (European pear), Quercus (oaks), Quercus myrsinifolia, Rapanea crassifolia, Rhizophora, Rhododendron (Azalea), Rhodomyrtus tomentosa, Rhus (Sumach), Rosa chinensis (China rose), Ruellia tuberosa, Saintpaulia ionantha, Salacia chinensis, Salvia coccinea (scarlet sage), Santalum album, Schefflera (umbrella tree), Schefflera actinophylla (umbrella tree), Schefflera arboricola, Schinus (pepper tree), Schinus terebinthifolius (Brazilian pepper tree), Siphonodon pendulus, Solanum macrocarpon, Spartium junceum (Spanish broom), Spiraea, Spondias dulcis, Stanhopea, Syngonium, Syzygium, Syzygium australe, Syzygium cumini (black plum), Syzygium jambos (rose apple), Syzygium malaccense (Malay apple), Syzygium moorei, Syzygium myrtifolium, Syzygium samarangense, Syzygium smithii, Tagetes erecta (Mexican marigold), Tamarix (tamarisk), Ternstroemia, Theobroma, Thunbergia erecta (bush clockvine), Thunbergia fragrans (whitelady), Viburnum, Viburnum odoratissimum, Zantedeschia, Zingiber officinale (ginger)"
"Cryptoblabes gnidiella","Acacia karroo (sweet thorn), Acacia nilotica (gum arabic tree), Actinidia deliciosa [A. chinensis var. deliciosa], Actinidia sp., Allium cepa (onion), Allium sativum (garlic), Allium spp., Annona muricata (soursop), Annona spp., Averrhoa sp., Azolla pinnata (mosquito fern), Azolla spp., Ceratonia siliqua (carob), Chaenomeles japonica (Japanese quince), Citrus limon (lemon), Citrus reticulata (mandarin), Citrus sinensis (sweet orange), Citrus spp., Citrus x paradisi [C. paradisi], Coffea arabica (arabica coffee), Coffea sp., Cyanea procera, Cydonia oblonga (quince), Cyperus rotundus (purple nutsedge), Daphne gnidium, Daphne mezereum (mezereon), Daucus carota (carrot), Diospyros kaki (persimmon), Eleusine coracana (finger millet), Eriobotrya japonica (loquat), Fatsia japonica (Japanese aralia), Feijoa sellowiana [Acca sellowiana], Feijoa sp., Ficus carica (common fig), Ficus macrophylla (moreton Bay fig), Ficus spp., Gossypium arboreum (cotton, tree), Gossypium herbaceum (short staple cotton), Gossypium hirsutum (Bourbon cotton), Gossypium spp., Gossypium thurberi (Arizona wild cotton), Khaya senegalensis (dry zone mahogany), Lantana spp., Lythrum salicaria (purple loosestrife), Lythrum spp., Macadamia spp., Macadamia ternifolia (Queensland nut), Malus pumila [M. domestica], Malus spp., Mangifera indica (mango), Mespilus germanica (medlar), Mespilus spp., Morella faya (firetree), Morus alba (mora), Morus nigra (black mulberry), Musa acuminata (wild banana), Musa spp., Nephelium lappaceum (rambutan), Nerium oleander (oleander), Olinia spp., Oryza sativa (rice), Osmanthus spp., Paspalum dilatatum (dallisgrass), Pelargonium spp., Pennisetum sp., Persea americana (avocado), Phaseolus spp., Phaseolus vulgaris (common bean), Philodendron spp., Pinus pinea (stone pine), Plectroniella [Canthium] spp., Prosopis spp., Prunus spp., Psidium spp., Punica granatum (pomegranate), Pyrus communis (European pear), Pyrus spp., Quercus sp., Ricinus communis (castor bean), Ricinus spp., Rosa spp., Saccharum officinarum (sugarcane), Saccharum spp., Samanea saman (rain tree), Schinus spp., Schinus terebinthifolia [as 'terebinthifolius'], Solanum melongena (aubergine), Sorghum bicolor (sorghum), Sorghum caffrorum [S. bicolor], Sorghum spp., Swietenia spp., Tamarix spp., Triticum aestivum (wheat), Vaccinium spp., Vanilla planifolia (vanilla), Vitis spp., Vitis vinifera (grapevine), Zea mays (maize)"
"Chloris barbata","Arachis hypogaea (groundnut), Carica papaya (pawpaw), Cocos nucifera (coconut), Coffea arabica (arabica coffee), Macadamia ternifolia (Queensland nut), Nicotiana tabacum (tobacco), Oryza sativa (rice), Saccharum officinarum (sugarcane)"
"Pseudacysta perseae","Cinnamomum camphora (camphor laurel), Persea americana (avocado), Persea borbonia, Persea palustris"
